index,Date,time,max,region,label,record
457,2019-08-21,01:41:40,10.1,< 1.5,,
458,2019-08-21,01:41:54,10.2,< 1.5,,
459,2019-08-21,01:42:07,10.1,< 1.5,,
460,2019-08-21,01:42:20,9.7,< 1.5,,
461,2019-08-21,01:42:34,9.9,< 1.5,,
462,2019-08-21,01:42:47,10.2,< 1.5,,
463,2019-08-21,01:43:00,9.1,< 1.5,,
464,2019-08-21,01:43:14,10.5,< 1.5,,
465,2019-08-21,01:43:27,10.1,< 1.5,,
466,2019-08-21,01:43:41,10.1,< 1.5,,
467,2019-08-21,01:43:54,11.0,< 1.5,,
468,2019-08-21,01:44:07,10.2,< 1.5,,
469,2019-08-21,01:44:20,9.8,< 1.5,,
470,2019-08-21,01:44:34,10.0,< 1.5,,
471,2019-08-21,01:44:47,9.1,< 1.5,,
472,2019-08-21,01:45:01,10.3,< 1.5,,
473,2019-08-21,01:45:14,10.6,< 1.5,,
474,2019-08-21,01:45:27,10.1,< 1.5,,
475,2019-08-21,01:45:41,10.4,< 1.5,,
476,2019-08-21,01:45:54,11.3,< 1.5,,
477,2019-08-21,01:46:07,10.6,< 1.5,,
478,2019-08-21,01:46:20,10.3,< 1.5,,
479,2019-08-21,01:46:34,10.1,< 1.5,,
480,2019-08-21,01:46:47,10.5,< 1.5,,
481,2019-08-21,01:47:01,10.9,< 1.5,,
482,2019-08-21,01:47:14,10.6,< 1.5,,
483,2019-08-21,01:47:27,10.1,< 1.5,,
484,2019-08-21,01:47:40,10.4,< 1.5,,
485,2019-08-21,01:47:54,10.8,< 1.5,,
486,2019-08-21,01:48:07,10.5,< 1.5,,
487,2019-08-21,01:48:21,10.3,< 1.5,,
488,2019-08-21,01:48:34,10.8,< 1.5,,
489,2019-08-21,01:48:47,9.7,< 1.5,,
490,2019-08-21,01:49:00,10.1,< 1.5,,
491,2019-08-21,01:49:14,10.0,< 1.5,,
492,2019-08-21,01:49:27,10.4,< 1.5,,
493,2019-08-21,01:49:41,10.7,< 1.5,,
494,2019-08-21,01:49:54,10.2,< 1.5,,
495,2019-08-21,01:50:07,10.1,< 1.5,,
496,2019-08-21,01:50:21,9.5,< 1.5,,
497,2019-08-21,01:50:34,10.1,< 1.5,,
498,2019-08-21,01:50:47,9.5,< 1.5,,
